time_s,command,measurement_rpm,speed_rpm
0.0000,1.00000,-2.559,96.429
0.0100,1.00000,23.467,189.413
0.0200,1.00000,64.388,279.077
0.0300,0.90326,117.273,356.211
0.0400,0.82381,174.682,422.927
0.0500,0.74112,236.210,479.288
0.0600,0.67120,299.759,526.893
0.0700,0.66849,357.603,572.537
0.0800,0.63269,413.929,613.099
0.0900,0.63787,464.343,652.712
0.1000,0.61606,512.422,688.806
0.1100,0.60682,556.982,722.720
0.1200,0.63556,594.251,758.195
0.1300,0.55104,637.375,784.252
0.1400,0.55968,675.360,810.212
0.1500,0.55417,710.320,834.714
0.1600,0.59822,737.190,862.588
0.1700,0.57577,764.180,887.302
0.1800,0.53915,792.737,907.602
0.1900,0.52367,820.283,925.685
0.2000,0.50340,847.397,941.167
0.2100,0.51393,870.724,957.112
0.2200,0.49754,893.624,970.906
0.2300,0.52497,911.339,986.854
0.2400,0.49264,930.989,999.113
0.2500,0.49036,949.006,1010.715
0.2600,0.51370,962.780,1024.154
0.2700,0.44867,982.417,1030.841
0.2800,0.48669,995.915,1040.957
0.2900,0.46829,1010.168,1048.937
0.3000,0.51196,1018.309,1060.842
0.3100,0.50060,1027.094,1071.227
0.3200,0.48135,1037.267,1079.384
0.3300,0.47212,1047.530,1086.361
0.3400,0.45391,1058.818,1091.332
0.3500,0.46703,1067.567,1097.390
0.3600,0.48187,1073.905,1104.664
0.3700,0.48685,1079.202,1112.158
0.3800,0.46825,1086.140,1117.592
0.3900,0.42591,1097.055,1118.747
0.4000,0.48441,1100.458,1125.503
0.4100,0.45072,1107.331,1128.769
0.4200,0.44874,1113.757,1131.727
0.4300,0.49522,1114.525,1139.062
0.4400,0.44580,1120.780,1141.368
0.4500,0.42021,1129.193,1141.126
0.4600,0.50822,1127.140,1149.378
0.4700,0.44975,1131.896,1151.698
0.4800,0.44628,1136.581,1153.600
0.4900,0.46494,1138.792,1157.233
0.5000,0.43016,1144.646,1157.384
0.5100,0.45044,1147.675,1159.484
0.5200,0.48252,1146.965,1164.602
0.5300,0.41840,1153.444,1163.355
0.5400,0.43310,1157.595,1163.570
0.5500,0.43178,1161.454,1163.650
0.5600,0.42532,1165.604,1163.104
0.5700,0.45680,1165.885,1165.613
0.5800,0.45777,1166.115,1168.126
0.5900,0.48578,1163.370,1173.251
0.6000,0.42776,1167.379,1172.597
0.6100,0.46272,1167.154,1175.338
0.6200,0.45331,1168.068,1177.073
0.6300,0.46982,1167.157,1180.339
0.6400,0.45527,1168.034,1182.085
0.6500,0.44292,1170.219,1182.578
0.6600,0.40292,1176.531,1179.196
0.6700,0.49471,1172.117,1184.786
0.6800,0.46451,1171.640,1187.264
0.6900,0.41985,1176.145,1185.347
0.7000,0.40197,1182.054,1181.775
0.7100,0.43699,1183.430,1181.707
0.7200,0.49621,1178.249,1187.351
0.7300,0.49239,1174.229,1192.427
0.7400,0.41066,1179.672,1189.440
0.7500,0.44917,1180.273,1190.273
0.7600,0.45724,1179.974,1191.854
0.7700,0.40540,1185.387,1188.380
0.7800,0.41676,1188.890,1186.125
0.7900,0.44781,1188.592,1186.945
0.8000,0.44384,1188.795,1187.353
0.8100,0.43905,1189.520,1187.285
0.8200,0.41351,1192.946,1184.756
0.8300,0.44571,1192.446,1185.422
0.8400,0.44613,1191.987,1186.106
0.8500,0.44359,1191.886,1186.520
0.8600,0.49153,1186.624,1191.542
