kp,ki,kd,final_rpm,final_error_rpm,overshoot_percent,settling_time_s
0.000800,0.002500,0.000040,1200.000,-0.000,1.919,0.350
0.000800,0.002000,0.000080,1200.001,-0.001,2.053,0.470
0.000800,0.002500,0.000080,1200.001,-0.001,5.166,0.810
0.000800,0.002000,0.000040,1199.998,0.002,0.000,0.460
0.001000,0.002500,0.000080,1200.003,-0.003,1.246,0.420
0.001000,0.002500,0.000040,1199.995,0.005,0.000,0.410
0.001200,0.002500,0.000080,1199.989,0.011,0.000,0.450
0.001000,0.002000,0.000080,1199.981,0.019,0.000,0.540
0.000800,0.001500,0.000080,1199.944,0.056,0.000,0.670
0.001200,0.002500,0.000040,1199.909,0.091,0.000,0.640
0.001000,0.002000,0.000040,1199.865,0.135,0.000,0.630
0.001200,0.002000,0.000080,1199.723,0.277,0.000,0.630
0.000800,0.001500,0.000040,1199.652,0.348,0.000,0.800
0.001200,0.002000,0.000040,1199.413,0.587,0.000,0.860
0.001000,0.001500,0.000080,1199.111,0.889,0.000,0.880
0.001000,0.001500,0.000040,1198.503,1.497,0.000,1.080
0.001200,0.001500,0.000080,1197.571,2.429,0.000,1.080
0.001200,0.001500,0.000040,1196.585,3.415,0.000,1.300
